ID,Region,Gender,Degree,Marital,Religion,Happy,Income,Politics,GunLaw,OwnGun,SpendMilitary,SpendEduc,SpendEnv,SpendCity,Pres16,Age
1078,Middle Atlantic,Female,Bachelor,Married,None,Very Happy,Average,Slightly Liberal,NA,Agree,Too Much,Too Little,Too Little,Too Little,Obama,49
1079,W. Sou. Central,Male,Lt High School,Never Married,Catholic,NA,Average,Moderate,Legal,Disagree,NA,NA,Too Much,About Right,Obama,41
1080,W. Sou. Central,Male,Junior College,Married,Catholic,Very Happy,Far Below Average,Moderate,NA,NA,NA,NA,Too Little,Too Little,Obama,72
1081,W. Sou. Central,Male,High School,Divorced,Catholic,NA,Average,NA,Not Legal,Agree,Too Much,About Right,Too Little,Too Much,NA,42
1082,W. Sou. Central,Male,High School,Never Married,None,NA,Average,Extremely Liberal,NA,Agree,Too Much,Too Little,Too Little,Too Little,NA,24
1083,W. Sou. Central,Male,Lt High School,Never Married,Catholic,NA,Above Average,Moderate,Legal,Agree,About Right,Too Little,Too Much,About Right,NA,31
1084,W. Sou. Central,Female,High School,Married,None,NA,Average,Moderate,Legal,Disagree,NA,Too Little,NA,Too Little,NA,33
1085,E. Nor. Central,Female,High School,Divorced,Catholic,NA,Below Average,Liberal,Not Legal,Agree,NA,NA,Too Little,Too Little,Obama,69
1086,W. Sou. Central,Female,Bachelor,Divorced,Protestant,NA,Average,Slightly Liberal,Legal,Disagree,Too Much,About Right,Too Little,About Right,Obama,46
1087,W. Sou. Central,Female,High School,Married,Catholic,Very Happy,Average,Moderate,NA,NA,NA,NA,About Right,Too Much,NA,71
1088,W. Sou. Central,Female,High School,Never Married,None,NA,Below Average,Moderate,Not Legal,NA,Too Little,Too Little,Too Little,Too Little,NA,22
1089,E. Nor. Central,Male,High School,Married,Catholic,Pretty Happy,Far Below Average,Slghtly Conservative,Legal,Disagree,NA,NA,About Right,About Right,Romney,53
1090,E. Nor. Central,Male,Graduate,Married,Catholic,Very Happy,Above Average,Slghtly Conservative,Legal,Agree,Too Much,Too Little,About Right,Too Little,NA,30
1091,E. Nor. Central,Male,Bachelor,Married,Protestant,Very Happy,Above Average,Conservative,NA,Disagree,NA,NA,About Right,About Right,Romney,61
1092,Foreign,Male,Graduate,Married,Catholic,Very Happy,Below Average,Slghtly Conservative,Not Legal,Disagree,Too Much,Too Little,Too Little,Too Little,NA,39
1093,E. Nor. Central,Male,Bachelor,Married,Catholic,Very Happy,Above Average,Slghtly Conservative,Legal,Strongly Disagree,NA,NA,Too Little,About Right,Romney,27
1094,E. Nor. Central,Male,Bachelor,Divorced,Protestant,NA,Above Average,Conservative,NA,NA,Too Much,About Right,Too Little,About Right,Romney,71
1095,E. Nor. Central,Female,High School,Married,Protestant,Very Happy,Average,Moderate,Legal,Strongly Disagree,NA,NA,Too Little,About Right,Romney,60
1096,E. Nor. Central,Male,Bachelor,Divorced,None,NA,Above Average,Slightly Liberal,Legal,Disagree,Too Much,Too Little,Too Little,Too Little,Obama,47
1097,E. Nor. Central,Male,High School,Married,Catholic,Very Happy,Average,Slightly Liberal,Legal,Agree,NA,NA,About Right,About Right,Obama,33
1098,E. Nor. Central,Male,Bachelor,Never Married,None,NA,Above Average,Extremely Liberal,NA,Disagree,NA,NA,Too Little,Too Little,Obama,29
1099,E. Nor. Central,Female,High School,Divorced,Protestant,NA,Average,Slightly Liberal,NA,Disagree,Too Much,About Right,About Right,About Right,Obama,60
1100,E. Nor. Central,Female,High School,Never Married,None,NA,Average,Slightly Liberal,Legal,NA,NA,NA,Too Little,About Right,NA,27
1101,E. Nor. Central,Male,High School,Never Married,None,NA,Above Average,NA,NA,NA,NA,NA,Too Little,Too Little,NA,30
1102,Pacific,Female,Lt High School,Never Married,None,NA,Below Average,Slightly Liberal,Legal,Disagree,About Right,Too Little,Too Little,Too Little,NA,24
1103,E. Nor. Central,Male,High School,Never Married,Protestant,NA,Average,Moderate,Legal,Strongly Disagree,Too Much,About Right,Too Little,Too Little,NA,57
1104,E. Nor. Central,Male,High School,Never Married,None,NA,Average,Moderate,NA,Agree,NA,NA,About Right,Too Little,NA,19
1105,E. Nor. Central,Male,High School,Never Married,None,NA,Below Average,Moderate,Legal,Agree,Too Much,Too Little,Too Little,About Right,NA,55
1106,E. Sou. Central,Female,High School,Divorced,Protestant,NA,Average,Extrmly Conservative,Legal,Strongly Disagree,Too Much,Too Much,Too Little,Too Little,Obama,75
1107,South Atlantic,Male,High School,Married,Protestant,Pretty Happy,Average,Moderate,NA,Agree,NA,NA,Too Little,About Right,Obama,50
1108,E. Nor. Central,Male,Junior College,Married,Protestant,Very Happy,Below Average,Conservative,Legal,Disagree,Too Much,About Right,Too Little,Too Little,Obama,70
1109,E. Nor. Central,Male,Bachelor,Divorced,Catholic,NA,Above Average,Slightly Liberal,NA,NA,Too Much,Too Little,Too Little,Too Little,Obama,65
1110,E. Nor. Central,Female,Bachelor,Married,None,Very Happy,Below Average,Liberal,Legal,Disagree,Too Much,About Right,Too Little,Too Little,Obama,28
1111,Pacific,Female,High School,Married,None,Very Happy,Average,Slightly Liberal,NA,Strongly Agree,Too Much,Too Much,Too Little,Too Little,Obama,57
1112,E. Nor. Central,Male,Bachelor,Married,Protestant,Very Happy,Average,Moderate,Legal,NA,Too Much,About Right,Too Much,About Right,Romney,48
1113,E. Nor. Central,Female,High School,Never Married,None,NA,Above Average,Liberal,Legal,NA,About Right,About Right,About Right,About Right,NA,18
1114,Mountain,Male,High School,Married,Protestant,Pretty Happy,Below Average,Slghtly Conservative,Legal,Strongly Disagree,NA,NA,About Right,About Right,Obama,27
1115,E. Nor. Central,Male,High School,Married,Other,Very Happy,Below Average,Liberal,NA,Disagree,Too Much,Too Much,Too Little,About Right,NA,41
1116,E. Nor. Central,Female,Graduate,Never Married,Protestant,NA,Average,Moderate,NA,NA,About Right,Too Little,Too Little,About Right,NA,69
1117,E. Nor. Central,Female,High School,Never Married,Protestant,NA,Above Average,Slightly Liberal,NA,Disagree,NA,NA,Too Little,Too Little,Obama,32
1118,Foreign,Female,High School,Never Married,Catholic,NA,Below Average,Moderate,Not Legal,NA,NA,NA,NA,Too Little,NA,21
1119,E. Nor. Central,Female,High School,Never Married,None,NA,Average,Moderate,NA,Disagree,About Right,About Right,About Right,About Right,Obama,30
1120,E. Nor. Central,Female,High School,Divorced,Catholic,NA,Above Average,Slightly Liberal,Legal,NA,NA,NA,About Right,Too Little,Obama,66
1121,E. Nor. Central,Female,High School,Divorced,None,NA,Above Average,Moderate,Legal,Strongly Agree,Too Much,Too Much,Too Little,Too Little,Obama,59
1122,South Atlantic,Female,High School,Never Married,Catholic,NA,Above Average,Moderate,NA,Disagree,NA,NA,About Right,About Right,NA,22
1123,E. Nor. Central,Male,Junior College,Never Married,None,NA,Below Average,Liberal,NA,Disagree,Too Little,Too Little,Too Little,About Right,Obama,31
1124,Foreign,Female,Bachelor,Divorced,Moslem/Islam,NA,Below Average,Moderate,Not Legal,NA,Too Little,NA,Too Little,Too Little,NA,50
1125,E. Nor. Central,Male,High School,Never Married,Protestant,NA,Above Average,Conservative,NA,Disagree,NA,NA,About Right,About Right,NA,21
1126,E. Nor. Central,Male,Bachelor,Married,Protestant,Very Happy,Above Average,Slightly Liberal,Not Legal,Disagree,About Right,Too Little,Too Little,Too Little,Obama,29
1127,E. Nor. Central,Female,High School,Never Married,Catholic,NA,Average,Moderate,Legal,Strongly Disagree,NA,NA,Too Little,NA,NA,21
1128,E. Nor. Central,Female,High School,Never Married,None,NA,Above Average,Extremely Liberal,Legal,NA,NA,NA,Too Little,Too Little,NA,21
1129,E. Nor. Central,Male,Bachelor,Never Married,Catholic,NA,Average,Liberal,Legal,Disagree,About Right,About Right,Too Little,Too Little,Obama,25
1130,E. Nor. Central,Male,Junior College,Never Married,Protestant,NA,Average,Slghtly Conservative,NA,NA,NA,NA,Too Little,About Right,NA,22
1131,South Atlantic,Male,High School,Never Married,NA,NA,Average,NA,Legal,Disagree,Too Little,Too Much,Too Little,Too Little,NA,23
1132,E. Nor. Central,Male,High School,Never Married,Protestant,NA,Far Below Average,Liberal,NA,NA,Too Little,Too Little,Too Little,Too Little,NA,21
1133,E. Nor. Central,Male,High School,Never Married,None,NA,Above Average,Slightly Liberal,Legal,NA,NA,NA,Too Little,About Right,NA,21
1134,E. Nor. Central,Male,Bachelor,Married,Protestant,Pretty Happy,Average,Liberal,Legal,Strongly Disagree,Too Much,Too Little,About Right,About Right,Obama,55
1135,Mountain,Male,Graduate,Married,Protestant,Pretty Happy,Average,Moderate,Not Legal,Agree,Too Much,About Right,Too Little,About Right,Romney,63
1136,E. Nor. Central,Female,High School,Widowed,Protestant,NA,Average,Conservative,NA,NA,Too Much,About Right,About Right,Too Much,Obama,86
1137,South Atlantic,Male,Lt High School,Married,Protestant,Very Happy,Below Average,Moderate,Not Legal,Disagree,NA,NA,Too Little,Too Little,NA,40
1138,Foreign,Male,High School,Married,None,Pretty Happy,Below Average,Conservative,Not Legal,Agree,NA,NA,Too Little,Too Little,NA,42
1139,E. Sou. Central,Female,High School,Separated,Protestant,NA,Below Average,Conservative,Legal,NA,NA,NA,Too Little,Too Little,Romney,64
1140,E. Sou. Central,Female,Bachelor,Divorced,Jewish,NA,Above Average,Liberal,NA,NA,NA,NA,Too Little,Too Little,Obama,72
1141,E. Sou. Central,Male,Junior College,Married,Jewish,Pretty Happy,Below Average,Liberal,Not Legal,NA,About Right,Too Little,About Right,About Right,NA,84
1142,Pacific,Female,Junior College,Never Married,Protestant,NA,Above Average,Slightly Liberal,Legal,Disagree,NA,NA,About Right,Too Little,Obama,30
1143,Mountain,Male,High School,Never Married,None,NA,Below Average,Extremely Liberal,NA,Disagree,Too Little,Too Little,Too Little,Too Little,Obama,33
1144,Middle Atlantic,Male,High School,Widowed,Jewish,NA,Far Below Average,Conservative,NA,NA,NA,NA,About Right,About Right,Romney,76
1145,Foreign,Male,Graduate,Never Married,Hinduism,NA,Average,Moderate,Not Legal,Disagree,About Right,About Right,Too Little,Too Little,NA,28
1146,Middle Atlantic,Female,Bachelor,Never Married,Protestant,NA,Average,Moderate,Legal,NA,Too Little,Too Little,Too Little,Too Little,NA,23
1147,Mountain,Female,Lt High School,Married,Catholic,Very Happy,Below Average,Slghtly Conservative,NA,NA,NA,NA,Too Little,Too Little,NA,30
1148,Mountain,Female,High School,Never Married,Catholic,NA,Average,Moderate,NA,Disagree,About Right,Too Little,About Right,About Right,NA,29
1149,Mountain,Male,Lt High School,Divorced,Other,NA,Far Below Average,Moderate,Legal,Strongly Disagree,NA,NA,Too Little,Too Little,NA,23
1150,Middle Atlantic,Male,Bachelor,Never Married,None,NA,Average,Moderate,Legal,Disagree,Too Much,Too Little,Too Little,Too Little,Obama,85
1151,W. Sou. Central,Male,Lt High School,Married,Protestant,Pretty Happy,Below Average,NA,NA,NA,NA,NA,Too Much,Too Little,Didn'T Vote For President,58
1152,W. Nor. Central,Male,High School,Widowed,None,NA,Above Average,Moderate,Not Legal,NA,Too Much,Too Little,Too Little,About Right,Obama,86
1153,W. Nor. Central,Male,Graduate,Married,Protestant,Very Happy,Far Below Average,Conservative,Not Legal,NA,NA,NA,Too Much,Too Much,Romney,82
1154,W. Sou. Central,Male,High School,Married,Protestant,Very Happy,Below Average,Moderate,NA,Agree,Too Much,Too Little,Too Little,Too Little,Obama,50
1155,Pacific,Male,High School,Never Married,None,NA,Below Average,Extremely Liberal,NA,Agree,Too Much,Too Little,Too Little,About Right,Obama,55
1156,Mountain,Female,Bachelor,Divorced,Catholic,NA,Below Average,Moderate,NA,Strongly Agree,NA,NA,Too Little,Too Little,Obama,41
1157,Mountain,Male,High School,Never Married,None,NA,Below Average,Slightly Liberal,Legal,Disagree,About Right,Too Little,Too Little,Too Little,NA,22
1158,Mountain,Male,Junior College,Married,Protestant,Very Happy,Average,Extrmly Conservative,Not Legal,Disagree,NA,NA,Too Little,Too Little,Romney,28
1159,Pacific,Female,High School,Divorced,Protestant,NA,Average,Slightly Liberal,NA,NA,NA,NA,Too Little,Too Little,Obama,87
1160,Pacific,Male,Bachelor,Married,Catholic,Very Happy,Below Average,Conservative,Not Legal,Agree,NA,NA,Too Little,About Right,Romney,64
1161,Pacific,Female,Lt High School,Never Married,Catholic,NA,Above Average,Moderate,NA,NA,NA,NA,About Right,About Right,NA,18
1162,South Atlantic,Female,High School,Married,Protestant,Very Happy,Above Average,Liberal,Legal,NA,NA,NA,About Right,Too Little,Obama,73
1163,Pacific,Female,High School,Married,Catholic,Very Happy,Average,Moderate,NA,NA,About Right,Too Little,Too Little,Too Little,Obama,68
1164,W. Nor. Central,Female,Graduate,Married,Protestant,Very Happy,Average,Conservative,NA,Disagree,NA,NA,About Right,Too Little,Romney,51
1165,Pacific,Male,Bachelor,Married,Buddhism,Very Happy,Average,Moderate,Legal,Agree,Too Much,About Right,Too Little,About Right,Romney,67
1166,W. Nor. Central,Male,Bachelor,Widowed,Buddhism,NA,Far Below Average,Liberal,Legal,NA,NA,NA,Too Little,Too Little,Obama,81
1167,Mountain,Male,Bachelor,Divorced,Protestant,NA,Average,Moderate,NA,NA,About Right,Too Little,About Right,Too Little,Romney,70
1168,Mountain,Male,High School,Married,Catholic,Very Happy,Average,Conservative,Not Legal,NA,Too Much,Too Little,Too Little,Too Little,Obama,63
1169,E. Nor. Central,Female,High School,Married,Protestant,Very Happy,Average,Conservative,Not Legal,NA,Too Much,Too Little,About Right,Too Little,Romney,71
1170,E. Nor. Central,Male,Bachelor,Married,Catholic,Pretty Happy,Below Average,Slghtly Conservative,NA,Disagree,Too Much,Too Little,About Right,Too Little,NA,34
1171,Middle Atlantic,Male,Bachelor,Widowed,Protestant,NA,Below Average,Moderate,NA,Disagree,NA,NA,Too Little,About Right,Romney,86
1172,E. Nor. Central,Female,High School,Never Married,None,NA,NA,Slightly Liberal,NA,Disagree,NA,NA,About Right,NA,Obama,39
1173,Mountain,Male,High School,Divorced,Protestant,NA,Below Average,Moderate,NA,NA,Too Much,Too Little,Too Little,About Right,NA,47
1174,E. Nor. Central,Female,Bachelor,Married,Christian,Pretty Happy,Far Above Average,Moderate,Legal,Disagree,NA,NA,Too Little,NA,Obama,33
1175,Foreign,Male,Bachelor,Widowed,None,NA,NA,Slightly Liberal,Legal,Strongly Disagree,Too Much,Too Little,Too Little,About Right,NA,31
1176,E. Nor. Central,Female,High School,Married,Protestant,Pretty Happy,Below Average,Slghtly Conservative,NA,NA,NA,NA,Too Little,About Right,Romney,57
1177,E. Nor. Central,Male,High School,Married,Catholic,Pretty Happy,Average,Moderate,Legal,Disagree,NA,NA,Too Little,Too Little,Obama,35
1178,E. Nor. Central,Female,High School,Widowed,Protestant,NA,Above Average,Extremely Liberal,NA,NA,About Right,About Right,Too Little,About Right,Obama,65
1179,E. Nor. Central,Male,High School,Never Married,Catholic,NA,Below Average,Moderate,Legal,NA,NA,NA,About Right,About Right,Obama,69
1180,E. Nor. Central,Female,High School,Divorced,None,NA,Below Average,Extremely Liberal,Not Legal,NA,Too Much,Too Little,Too Little,Too Little,Obama,59
1181,E. Nor. Central,Male,High School,Married,None,Very Happy,Below Average,Liberal,Legal,Disagree,Too Little,Too Little,Too Little,NA,Obama,35
1182,E. Nor. Central,Male,High School,Never Married,Protestant,NA,Below Average,Conservative,NA,Disagree,Too Much,Too Little,Too Much,About Right,Romney,37
1183,E. Nor. Central,Female,High School,Married,Protestant,Very Happy,Average,Conservative,Not Legal,Disagree,NA,NA,About Right,About Right,Romney,51
1184,Middle Atlantic,Male,Lt High School,Married,Catholic,Very Happy,NA,Moderate,Legal,NA,Too Little,Too Little,About Right,Too Little,Obama,85
1185,E. Nor. Central,Female,Bachelor,Married,Catholic,Very Happy,Far Below Average,Conservative,NA,NA,Too Much,Too Little,About Right,About Right,Romney,49
1186,E. Nor. Central,Female,Graduate,Married,Catholic,Very Happy,Average,Slightly Liberal,Legal,NA,NA,NA,About Right,Too Much,Obama,68
1187,W. Nor. Central,Female,Junior College,Married,Protestant,Pretty Happy,Far Above Average,Moderate,NA,NA,Too Much,Too Little,About Right,Too Little,Romney,70
1188,Middle Atlantic,Male,High School,Widowed,Protestant,NA,Far Below Average,Liberal,Legal,NA,About Right,Too Little,Too Little,About Right,Obama,74
1189,E. Nor. Central,Female,High School,Married,Catholic,Very Happy,Average,Conservative,NA,Disagree,NA,NA,Too Little,About Right,Romney,68
1190,E. Nor. Central,Female,Bachelor,Married,Christian,Very Happy,Far Above Average,Conservative,NA,Disagree,About Right,About Right,About Right,About Right,Romney,46
1191,W. Nor. Central,Female,Junior College,Married,Protestant,Very Happy,Below Average,Moderate,Legal,Disagree,NA,NA,About Right,Too Little,Romney,51
1192,E. Nor. Central,Male,High School,Divorced,Protestant,NA,Far Below Average,Conservative,Legal,NA,About Right,About Right,About Right,About Right,Romney,66
1193,South Atlantic,Male,High School,Never Married,None,NA,Average,Slghtly Conservative,NA,Disagree,Too Much,Too Little,NA,NA,NA,43
1194,E. Nor. Central,Female,Lt High School,Widowed,Protestant,NA,NA,Slghtly Conservative,NA,NA,NA,NA,Too Little,Too Much,NA,74
1195,E. Nor. Central,Male,Graduate,Married,Protestant,Very Happy,Average,Conservative,Not Legal,NA,About Right,Too Little,Too Little,About Right,Romney,74
1196,E. Nor. Central,Male,High School,Married,Catholic,Very Happy,Below Average,Liberal,Not Legal,NA,Too Much,Too Much,Too Much,About Right,Romney,85
1197,E. Nor. Central,Male,Bachelor,Divorced,Protestant,NA,Average,Extremely Liberal,Legal,Disagree,NA,NA,Too Little,NA,Other Candidate (Specify),49
1198,E. Nor. Central,Female,High School,Married,Orthodox-Christian,Pretty Happy,Above Average,Moderate,NA,NA,NA,NA,About Right,NA,NA,46
1199,E. Nor. Central,Female,Bachelor,Married,Protestant,Pretty Happy,Above Average,Moderate,Not Legal,NA,About Right,Too Little,Too Little,Too Little,Obama,37
1200,Mountain,Female,Lt High School,Separated,Protestant,NA,Below Average,Slghtly Conservative,NA,Disagree,Too Much,Too Little,About Right,Too Little,NA,41
1201,Mountain,Male,High School,Married,None,Pretty Happy,Average,Slightly Liberal,Legal,Agree,NA,NA,Too Little,Too Little,NA,22
1202,Foreign,Female,Graduate,Married,Catholic,Pretty Happy,Above Average,Moderate,Not Legal,Strongly Agree,About Right,Too Much,About Right,About Right,NA,43
1203,Mountain,Female,Bachelor,Married,Protestant,Very Happy,Average,Moderate,Not Legal,NA,Too Much,Too Little,Too Little,Too Little,Romney,73
1204,Mountain,Female,Bachelor,Married,Protestant,Very Happy,Far Below Average,Slghtly Conservative,NA,Agree,Too Much,About Right,About Right,About Right,Romney,34
1205,W. Nor. Central,Male,High School,Widowed,Protestant,NA,Average,Moderate,NA,NA,NA,NA,About Right,Too Little,Obama,87
1206,Mountain,Female,Graduate,Never Married,Protestant,NA,Above Average,Liberal,Not Legal,NA,About Right,About Right,Too Little,About Right,Obama,32
1207,Foreign,Female,High School,Divorced,Catholic,NA,Below Average,Moderate,Legal,Strongly Agree,About Right,Too Little,About Right,About Right,NA,31
1208,Mountain,Male,High School,Never Married,None,NA,Far Below Average,NA,Legal,NA,NA,NA,About Right,About Right,NA,33
1209,Mountain,Male,High School,Divorced,Protestant,NA,Below Average,Slightly Liberal,NA,NA,About Right,Too Little,Too Little,Too Little,NA,69
1210,Mountain,Male,High School,Never Married,Protestant,NA,Average,Conservative,Not Legal,NA,NA,NA,Too Little,Too Little,Romney,77
1211,Mountain,Male,High School,Divorced,Catholic,NA,Average,Moderate,NA,NA,NA,NA,About Right,NA,NA,52
1212,Mountain,Male,High School,Divorced,None,NA,Below Average,Liberal,Legal,Agree,NA,NA,Too Little,Too Little,Other Candidate (Specify),37
1213,Pacific,Male,High School,Never Married,None,NA,Below Average,Slghtly Conservative,NA,Disagree,NA,Too Little,Too Little,Too Little,Romney,52
1214,Mountain,Female,Bachelor,Never Married,None,NA,Above Average,Slightly Liberal,Legal,Strongly Agree,NA,NA,About Right,NA,Obama,38
1215,Mountain,Male,High School,Divorced,None,NA,Below Average,Slghtly Conservative,Legal,Disagree,Too Much,Too Little,About Right,Too Little,NA,55
1216,Pacific,Female,High School,Married,Protestant,Very Happy,Average,Moderate,Not Legal,NA,NA,NA,About Right,Too Little,Obama,75
1217,Mountain,Female,High School,Married,Catholic,Very Happy,Below Average,Slghtly Conservative,NA,Agree,Too Much,Too Little,About Right,Too Little,Obama,50
1218,Mountain,Female,High School,Never Married,None,NA,Average,Slightly Liberal,Legal,Disagree,NA,NA,Too Little,About Right,NA,25
1219,Mountain,Male,High School,Married,Protestant,Very Happy,Below Average,Moderate,Legal,Disagree,About Right,Too Little,Too Little,Too Little,NA,28
1220,Mountain,Male,Bachelor,Divorced,Protestant,NA,Average,Moderate,Not Legal,NA,NA,NA,Too Little,About Right,Obama,76
1221,Mountain,Male,Bachelor,Married,NA,Very Happy,Below Average,Moderate,NA,Disagree,Too Much,Too Little,About Right,About Right,Romney,52
1222,E. Sou. Central,Male,High School,Never Married,Protestant,NA,Average,Conservative,Not Legal,Disagree,Too Much,About Right,Too Little,About Right,NA,22
1223,E. Sou. Central,Male,Lt High School,Widowed,None,NA,Below Average,Liberal,Legal,Disagree,NA,NA,Too Little,About Right,Obama,57
1224,E. Sou. Central,Female,Lt High School,Divorced,Protestant,NA,Average,Moderate,Not Legal,NA,NA,NA,Too Little,NA,NA,84
1225,E. Sou. Central,Female,High School,Married,Protestant,Very Happy,Average,Moderate,Legal,Agree,NA,NA,Too Little,Too Little,NA,63
1226,E. Sou. Central,Female,Graduate,Widowed,Protestant,NA,Below Average,Slightly Liberal,Not Legal,Agree,NA,NA,Too Little,About Right,Obama,58
1227,E. Sou. Central,Female,High School,Married,None,Very Happy,Average,Moderate,Legal,NA,NA,NA,Too Little,NA,NA,43
1228,E. Sou. Central,Female,High School,Never Married,Protestant,NA,Far Below Average,Slghtly Conservative,NA,Disagree,NA,NA,Too Little,About Right,NA,25
1229,E. Sou. Central,Male,Lt High School,Married,Protestant,Pretty Happy,Average,Slghtly Conservative,Legal,Agree,Too Much,Too Little,About Right,Too Little,NA,39
1230,E. Sou. Central,Female,Junior College,Never Married,None,NA,Above Average,Slghtly Conservative,Legal,Agree,NA,NA,Too Little,About Right,NA,31
1231,E. Sou. Central,Female,High School,Divorced,Protestant,NA,Below Average,Conservative,NA,Agree,NA,About Right,NA,Too Little,NA,39
1232,E. Sou. Central,Female,High School,Never Married,Protestant,NA,Average,Slghtly Conservative,NA,Disagree,NA,NA,Too Little,Too Little,Obama,34
1233,Mountain,Male,Junior College,Married,Protestant,Very Happy,Average,Moderate,Legal,Strongly Disagree,Too Little,Too Much,Too Little,Too Little,NA,27
1234,E. Sou. Central,Male,High School,Never Married,None,NA,Above Average,Moderate,NA,Disagree,NA,NA,Too Little,About Right,Obama,35
1235,E. Sou. Central,Female,High School,Never Married,Protestant,NA,Average,Liberal,Not Legal,Disagree,Too Little,Too Little,About Right,Too Little,NA,24
1236,South Atlantic,Male,Bachelor,Never Married,Protestant,NA,Average,Moderate,Legal,Disagree,NA,NA,Too Little,About Right,Didn'T Vote For President,48
1237,E. Sou. Central,Male,High School,Never Married,None,NA,Above Average,Slightly Liberal,NA,NA,NA,NA,About Right,NA,NA,21
1238,E. Sou. Central,Male,High School,Never Married,Protestant,NA,Above Average,Slghtly Conservative,Legal,Agree,About Right,Too Little,About Right,About Right,NA,30
1239,E. Sou. Central,Male,High School,Never Married,None,NA,Average,Slghtly Conservative,NA,Agree,Too Much,NA,About Right,About Right,NA,36
1240,E. Sou. Central,Male,High School,Never Married,None,NA,Below Average,Extremely Liberal,Not Legal,NA,NA,NA,Too Little,Too Little,Romney,52
1241,Foreign,Male,Graduate,Married,Catholic,Very Happy,Above Average,Moderate,Not Legal,Agree,NA,NA,Too Little,About Right,NA,36
1242,E. Sou. Central,Female,Graduate,Widowed,Protestant,NA,Average,Liberal,NA,NA,Too Little,Too Little,Too Little,NA,Obama,80
1243,E. Sou. Central,Female,Bachelor,Never Married,None,NA,Above Average,Slightly Liberal,Legal,Disagree,NA,NA,Too Little,Too Little,NA,27
1244,E. Sou. Central,Female,Bachelor,Never Married,None,NA,Below Average,Slightly Liberal,Legal,Strongly Disagree,Too Much,Too Little,Too Little,About Right,Romney,24
1245,New England,Female,High School,Divorced,Catholic,NA,Average,Moderate,NA,Disagree,Too Much,Too Little,About Right,About Right,Obama,44
1246,New England,Male,Lt High School,Married,Catholic,Very Happy,Average,Moderate,Legal,NA,About Right,About Right,Too Little,About Right,Obama,89 OR OLDER
1247,South Atlantic,Male,High School,Never Married,Protestant,NA,Average,Extremely Liberal,Legal,Agree,NA,NA,About Right,About Right,NA,22
1248,Foreign,Male,High School,Married,Protestant,Pretty Happy,Below Average,Slghtly Conservative,Not Legal,NA,Too Much,Too Much,About Right,Too Much,NA,48
1249,New England,Female,Lt High School,Never Married,Catholic,NA,Average,Liberal,Not Legal,Disagree,About Right,About Right,About Right,About Right,Obama,33
1250,New England,Female,Lt High School,Widowed,Catholic,NA,Below Average,Moderate,Not Legal,NA,NA,NA,About Right,NA,Obama,59
1251,New England,Male,High School,Never Married,None,NA,Below Average,Slghtly Conservative,NA,Disagree,Too Much,Too Much,About Right,Too Much,Romney,43
1252,Foreign,Female,Lt High School,Married,Protestant,Very Happy,Far Below Average,Liberal,Legal,NA,About Right,Too Little,Too Little,About Right,NA,32
1253,New England,Female,Junior College,Divorced,None,NA,Above Average,Liberal,NA,NA,Too Little,Too Little,NA,Too Little,Obama,62
1254,New England,Female,High School,Married,None,Very Happy,Average,Slghtly Conservative,NA,Strongly Disagree,NA,NA,Too Little,About Right,NA,53
1255,New England,Female,High School,Married,Catholic,Not Too Happy,Average,Conservative,Legal,Disagree,NA,NA,Too Little,Too Much,Romney,59
1256,Foreign,Male,High School,Married,None,Very Happy,Far Below Average,Conservative,Not Legal,Disagree,Too Much,Too Much,Too Little,Too Little,NA,47
1257,New England,Female,High School,Never Married,Catholic,NA,Average,Moderate,NA,NA,NA,NA,Too Little,Too Little,NA,18
1258,New England,Male,High School,Widowed,Protestant,NA,Below Average,Moderate,NA,Strongly Disagree,Too Much,Too Little,Too Little,Too Little,NA,64
1259,New England,Male,High School,Never Married,Protestant,NA,Average,Slightly Liberal,NA,Disagree,NA,NA,Too Little,About Right,NA,22
1260,Middle Atlantic,Female,Bachelor,Married,Catholic,Very Happy,Far Above Average,Extremely Liberal,Legal,Agree,About Right,Too Little,Too Little,Too Little,Obama,37
1261,New England,Female,Bachelor,Never Married,Catholic,NA,Above Average,Liberal,NA,Agree,NA,NA,Too Little,Too Little,Obama,31
1262,South Atlantic,Female,High School,Widowed,Protestant,NA,Average,Moderate,Not Legal,NA,NA,NA,About Right,Too Little,Obama,72
1263,Mountain,Female,Bachelor,Married,None,Very Happy,Above Average,Liberal,Legal,Disagree,NA,NA,Too Little,Too Little,Obama,32
1264,New England,Male,Bachelor,Married,None,Very Happy,Average,Liberal,Not Legal,NA,Too Little,Too Little,Too Little,Too Little,Obama,69
1265,W. Sou. Central,Female,Bachelor,Never Married,None,NA,Below Average,Extremely Liberal,Legal,Agree,NA,NA,Too Little,Too Little,Other Candidate (Specify),32
1266,New England,Male,Bachelor,Never Married,Catholic,NA,Average,Moderate,Legal,Disagree,Too Much,Too Little,Too Little,Too Little,Obama,32
1267,New England,Female,Junior College,Divorced,Catholic,NA,Average,Slghtly Conservative,NA,Disagree,NA,NA,NA,Too Little,NA,60
1268,Foreign,Male,Lt High School,Widowed,Catholic,NA,NA,Extrmly Conservative,Not Legal,NA,NA,NA,About Right,Too Much,NA,70
1269,Middle Atlantic,Female,Junior College,Never Married,Catholic,NA,Average,Moderate,NA,Disagree,Too Much,Too Much,Too Little,Too Little,Obama,41
